名稱,郵遞區號,地址,相對位置,營業時間,座標x,座標y,儲格數,櫃型,備註,付費方式
莿桐饒平郵局ｉ郵箱,64700,雲林縣莿桐鄉永基路23-7號,郵局入口右前方,24小時,120.525361,23.775751,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
岡山快樂屋文具廣場ｉ郵箱,82000,高雄市岡山區大仁北路377號,門口右側,24小時,120.302635,22.793904,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
板橋翠峰社區ｉ郵箱,22000,新北市板橋區藝文街106號,大廳櫃台左側牆面,24小時,121.450873,25.021442,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
大雅馬岡厝郵局ｉ郵箱,42800,臺中市大雅區昌平路四段82號,大門左側,24小時,120.668126,24.217471,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
屏東頭前溪郵局ｉ郵箱,90000,屏東縣屏東市清進巷79-6號,郵局大門左側,24小時,120.464706,22.648432,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺中松竹郵局ｉ郵箱,40600,臺中市北屯區松竹北路110號,大門左側,24小時,120.699293,24.185384,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
嘉義中洋工業區ｉ郵箱,61600,嘉義縣新港鄉中洋工業區1號,ATM旁,24小時,120.382389,23.521712,27,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
水上鄉公所ｉ郵箱,60800,嘉義縣水上鄉柳仔林66號,大門右側,24小時,120.409498,24.430020,40,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
嘉義大學蘭潭校區ｉ郵箱,60000,嘉義市東區學府路300號,郵局旁,24小時,120.483337,23.467515,40,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
嘉義大學民雄校區ｉ郵箱,62100,嘉義縣民雄鄉文隆村85號(綠園一舍),綠園一舍旁,24小時,120.424842,23.542826,33,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
虎尾郵局ｉ郵箱,63200,雲林縣虎尾鎮林森路1段495號,大門左側,24小時,120.433363,23.709003,40,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
