名稱,郵遞區號,地址,相對位置,營業時間,座標x,座標y,儲格數,櫃型,備註,付費方式
北捷新店站ｉ郵箱,23100,新北市新店區北宜路1段2號,付費區大廳層近車站資訊圖,06:00-24:00,121.538581,24.958940,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
北捷新店區公所站ｉ郵箱,23100,新北市新店區北新路1段295號,付費區大廳層近詢問處,06:00-24:00,121.541000,24.967386,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
文山景仁里辦公處ｉ郵箱,11600,臺北市文山區景福街21巷3弄11號,大門右側階梯上,24小時,121.539376,24.998764,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺北正守里活動中心ｉ郵箱,10400,臺北市中山區林森北路67巷7號,大門左側,24小時,121.524878,25.048643,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
文山萬隆里辦公處ｉ郵箱,11600,臺北市文山區萬隆街25號,大門左側,24小時,121.538143,25.000258,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
松山健康出租社宅ｉ郵箱,10500,臺北市松山區健康路285號,A棟管理室旁,24小時,121.563984,25.054347,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
木柵興隆社宅D1區ｉ郵箱,11600,臺北市文山區木柵路2段2巷(全),B棟側門左側牆面,24小時,121.557859,24.988467,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺北大龍峒出租社宅ｉ郵箱,10300,臺北市大同區承德路3段212號,大門左側A棟信箱旁,24小時,121.518124,25.071183,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
樹林國民運動中心ｉ郵箱,23800,新北市樹林區中正路188-6號,大門右側,06:00~24:00,121.423482,25.004035,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
板橋TPKA研發大樓ｉ郵箱,22000,新北市板橋區遠東路1號B2,B2電梯右側牆面(園區公司專用),24小時,121.456799,24.998810,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
三峽薇多綠雅社區ｉ郵箱,23700,新北市三峽區二鬮路136巷20弄2號,社區活動中心外舊衣回收櫃右側(社區專用),24小時,121.356684,24.909883,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
板橋龍之邦B區ｉ郵箱,22000,新北市板橋區文化路2段182巷3弄101號,101號及車道間長廊,24小時,121.471939,25.028267,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
新店玫瑰社區福德宮ｉ郵箱,23100,新北市新店區玫瑰路35號,行政辦公室左側牆面,24小時,121.495949,24.950457,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
板橋亞東醫院ｉ郵箱,22000,新北市板橋區南雅南路2段21號,福利諮詢暨輔具租借服務處對面,24小時,121.452811,24.997044,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
原嘉義康樂郵局ｉ郵箱,60000,嘉義市西區康樂街107號,ATM右邊,24小時,120.447983,23.474777,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
水上郵局ｉ郵箱,60800,嘉義縣水上鄉中興路356號,大口右側,24小時,120.401237,23.430264,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
水上回歸郵局ｉ郵箱,60800,嘉義縣水上鄉三和村新厝仔2之4號,ATM左側牆面,24小時,120.408889,23.454475,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
礁溪四城郵局ｉ郵箱,26200,宜蘭縣礁溪鄉站前路19號,大門右側,24小時,121.762125,24.786840,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
五結龍德利澤服務中心ｉ郵箱,26800,宜蘭縣五結鄉利工二路46號,服務區大門左側,24小時,121.838416,24.650892,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
佛光大學雲起樓ｉ郵箱,26200,宜蘭縣礁溪鄉林美村林尾路160號,總務室大門左側,24小時,121.721999,24.816084,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
頭城家商ｉ郵箱,26100,宜蘭縣頭城鎮新興路111號,校門口左側警衛室旁,24小時,121.816256,24.851138,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
苗栗高苗社區ｉ郵箱,36000,苗栗縣苗栗市高苗里松園1號,社區活動中心左側,24小時,120.811933,24.549408,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
三義郵局ｉ郵箱,36700,苗栗縣三義鄉中正路101號,ATM區,24小時,120.772516,24.414366,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
卓蘭郵局ｉ郵箱,36900,苗栗縣卓蘭鎮中山路133號,ATM區,24小時,120.824324,24.313347,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
苗栗勝利社區ｉ郵箱,36000,苗栗縣苗栗市復興路一段453號,勝利社區活動中心前,24小時,120.821173,24.547999,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
竹南水興宮ｉ郵箱,35000,苗栗縣竹南鎮山佳里2鄰山佳53號,由四維街進入，廟埕廣場右側,24小時,120.880147,24.700611,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
竹南斯文豪社區ｉ郵箱,35000,苗栗縣竹南鎮大埔九街35號,富奕斯文豪華廈行人門禁出入口左側,24小時,120.901461,24.705207,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
苑裡山腳郵局ｉ郵箱,35800,苗栗縣苑裡鎮舊社里63號,大門右側,24小時,120.684825,24.415932,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
南投光明里郵局ｉ郵箱,54000,南投縣南投市中正路648號,大門左側,24小時,120.697178,23.939432,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
水里北埔郵局ｉ郵箱,55300,南投縣水里鄉民生路167號,大門右側,24小時,120.855556,23.811242,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺南新好國宅ｉ郵箱,70400,臺南市北區北園街38號B棟,進大門後左側牆面,24小時,120.223068,23.011338,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺南長谷畫時代ｉ郵箱,70800,臺南市安平區育平五街6號,一樓大廳(限住戶使用),24小時,120.169733,22.990839,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺南安平府城新象ｉ郵箱,70800,臺南市安平區建平八街551號,A棟信箱左側牆面(社區住戶專用),24小時,120.168635,22.992121,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
後壁郵局ｉ郵箱,73100,臺南市後壁區後壁里1-15號,大門右側,24小時,120.362634,23.365580,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺南關聖社區活動中心ｉ郵箱,70100,臺南市東區裕孝路118號,大門右側,24小時,120.243322,22.986570,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺南世界帝心社區ｉ郵箱,70100,臺南市東區崇善路25巷96號,大廳吧台右側(限住戶使用),24小時,120.222236,22.983709,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
白河郵局ｉ郵箱,73200,臺南市白河區三民路410號,自助服務區,24小時,120.416296,23.351336,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
鹽水郵局ｉ郵箱,73700,臺南市鹽水區中山路6號,自助服務區,24小時,120.267100,23.320032,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
學甲郵局ｉ郵箱,72600,臺南市學甲區中正路318號,自助服務區,24小時,120.180889,23.235176,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
官田隆田郵局ｉ郵箱,72000,臺南市官田區勝利路2號,大門右側專用信箱旁,24小時,120.314564,23.193274,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺南興華街郵局ｉ郵箱,70000,臺南市中西區興華街37號,入口右側,24小時,120.211179,22.992524,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺南大光郵局ｉ郵箱,70400,臺南市北區長榮路5段266號,入口左側,24小時,120.218106,23.013039,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
永康王行郵局ｉ郵箱,71000,臺南市永康區永康工業區環工路6號,郵局左側,24小時,120.274434,23.049334,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺南新義郵局ｉ郵箱,70200,臺南市南區安平工業區新義路1號,入口右側,24小時,120.182913,22.969527,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
仁德二空郵局ｉ郵箱,71700,臺南市仁德區二空路65號,殘障坡道右側,24小時,120.223053,22.958539,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
基隆港東郵局ｉ郵箱,20200,基隆市中正區中正路56號,大門右側,24小時,121.745400,25.134180,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
貢寮郵局ｉ郵箱,22800,新北市貢寮區貢寮街50號,大門右側,24小時,121.908819,25.019618,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
基隆中山郵局ｉ郵箱,20300,基隆市中山區中華路3號,大門左側,24小時,121.738710,25.144710,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
后里義里郵局ｉ郵箱,42100,臺中市后里區甲后路1段219號,ATM服務區,24小時,120.727782,24.309060,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
名間新街郵局ｉ郵箱,55100,南投縣名間鄉彰南路405-5號,大門右側,24小時,120.693179,23.877754,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
竹北里集會所ｉ郵箱,30200,新竹縣竹北市竹北里中山路236號,門口右側牆壁,24小時,121.017775,24.837479,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺中南區中興活動中心ｉ郵箱,40200,臺中市南區復新街89號,大門左側,24小時,120.675875,24.124729,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
新店寶橋郵局ｉ郵箱,23100,新北市新店區寶中路94-2號1樓,大門內右側牆面,24小時,121.548700,24.980088,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
大九九嘉義新生店ｉ郵箱,60000,嘉義市東區新生路687號,門口右側,08:00-23:00,120.456155,23.494748,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
五股晴空SKY1社區ｉ郵箱,24800,新北市五股區新五路3段151號,一樓健身房對外出口處,24小時,121.447897,25.092568,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
竹東集學華廈ｉ郵箱,31000,新竹縣竹東鎮和江街206~210號,大門左側,24小時,121.091520,24.721980,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
智邦新竹總部ｉ郵箱,30000,新竹市東區研新三路1號,大門右側,24小時,120.988270,24.778060,60,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
竹東放翁清境ｉ郵箱,31000,新竹縣竹東鎮學府東路318號,大門左側,24小時,121.056580,24.754171,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
新竹肉品市場ｉ郵箱,30200,新竹縣竹北市中正西路2077號,大門守衛室左側,24小時,120.953121,24.841880,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
新竹英明街郵局ｉ郵箱,30000,新竹市北區英明街10號,門口左側,24小時,120.967445,24.806798,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
竹北芥子社區ｉ郵箱,30200,新竹縣竹北市新興路50巷1號,大門右側,24小時,120.992945,24.844666,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
竹北碧友富貴ｉ郵箱,30200,新竹縣竹北市新工五路11～15號,大門內右側,24小時,121.004674,24.848244,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
鹿港王子文具批發廣場ｉ郵箱,50500,彰化縣鹿港鎮頂厝里鹿東路234號,大門口左側牆面,24小時,120.444578,24.056313,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
員林金龜車婦嬰用品店ｉ郵箱,51000,彰化縣員林市員水路2段176號,大門右側騎樓牆面,24小時,120.584829,23.955354,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
北斗中寮社區ｉ郵箱,52100,彰化縣北斗鎮中寮路120號,大門口左側,24小時,120.510685,23.879742,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
左營華夏路郵局ｉ郵箱,81300,高雄市左營區華夏路390號,正門右側,24小時,120.298869,22.673116,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
楠梓右昌郵局ｉ郵箱,81100,高雄市楠梓區右昌街347號,正門右側,24小時,120.288876,22.714623,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
名間大庄郵局ｉ郵箱,55100,南投縣名間鄉南田路140號,ATM左側,24小時,120.653911,23.874288,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
埔里第三市場郵局ｉ郵箱,54500,南投縣埔里鎮東榮路77號,大門右側,24小時,120.967016,23.963240,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
國姓北山郵局ｉ郵箱,54400,南投縣國姓鄉中正路4段168號,ATM旁,24小時,120.872010,23.981475,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
林內仕相俥炮商店ｉ郵箱,64300,雲林縣林內鄉中山路41號,商店入口右側,24小時,120.615235,23.759512,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
林內盛元超市ｉ郵箱,64300,雲林縣林內鄉新興路56-8號,商店入口右側,24小時,120.612504,23.759608,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
雲林縣政府ｉ郵箱,64000,雲林縣斗六市雲林路二段515號,大禮堂入口右前方,24小時,120.525624,23.698931,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
口湖郵局ｉ郵箱,65300,雲林縣口湖鄉廟前街26號,大門左側,24小時,120.182938,23.585755,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
水林郵局ｉ郵箱,65200,雲林縣水林鄉水林路10號,大門左側,24小時,120.246232,23.572614,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
虎尾圓環郵局ｉ郵箱,63200,雲林縣虎尾鎮光復路387號,大門左側,24小時,120.437850,23.709856,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
虎尾科技大學郵局ｉ郵箱,63200,雲林縣虎尾鎮文化路64號,大門右側,24小時,120.430702,23.701549,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
新園郵局ｉ郵箱,93200,屏東縣新園鄉仙吉村仙吉路40號,大門右側,24小時,120.460197,22.540598,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
新園烏龍郵局ｉ郵箱,93200,屏東縣新園鄉中洲村南興路106號,大門左側,24小時,120.458611,22.485664,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
潮州南進路郵局ｉ郵箱,92000,屏東縣潮州鎮長興路1-15號,大門左側,24小時,120.543716,22.551134,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
潮州新生路郵局ｉ郵箱,92000,屏東縣潮州鎮新生路115號,大門右側,24小時,120.538589,22.551293,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
內埔郵局ｉ郵箱,91200,屏東縣內埔鄉內埔村文化路277號,大門左側,24小時,120.567044,22.612395,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
屏東歸來郵局ｉ郵箱,90000,屏東縣屏東市民生路61-7號,大門右側,24小時,120.503393,22.664270,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
海端郵局ｉ郵箱,95700,臺東縣海端鄉海端村山界27號,大門左側,24小時,121.176727,23.100732,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
池上郵局ｉ郵箱,95800,臺東縣池上鄉中山路201號,ATM服務區,24小時,121.218028,23.124255,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺北松江路郵局ｉ郵箱,10400,臺北市中山區松江路364號,大門左側,24小時,121.532981,25.062060,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
彰化中庄仔郵局ｉ郵箱,50000,彰化縣彰化市彰南路1段115號,大門內左側,24小時,120.568071,24.087845,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
彰化師大郵局ｉ郵箱,50000,彰化縣彰化市進德路1號,大門左側,24小時,120.558742,24.081371,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
福興福工郵局ｉ郵箱,50600,彰化縣福興鄉福工路1號,大門左側,24小時,120.486989,24.011939,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
大城郵局ｉ郵箱,52700,彰化縣大城鄉北平路35號,大門右側,24小時,120.321707,23.856068,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
彰化臺化郵局ｉ郵箱,50000,彰化縣彰化市中山路3段359號,大門左側,24小時,120.561156,24.087185,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
鹿港亞洲生活廣場ｉ郵箱,50500,彰化縣鹿港鎮民族路120號,大門右側,24小時,120.435753,24.055303,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
大村大葉學苑ｉ郵箱,51500,彰化縣大村鄉黃厝村山腳路47-22號,大門右側,24小時,120.588719,23.986424,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
二林基督教醫院ｉ郵箱,52600,彰化縣二林鎮大成路1段558號,醫院最左側農會提款機旁,24小時,120.363375,23.893587,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
彰化財經巨人大樓ｉ郵箱,50000,彰化縣彰化市中央路184號,大門右側,24小時,120.529652,24.065439,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
彰化萬安社區活動中心ｉ郵箱,50000,彰化縣彰化市建國南路42之1號,面對社區活動中心右側牆面,24小時,120.551099,24.089203,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
彰化金馬大鎮一期ｉ郵箱,50000,彰化縣彰化市金馬路3段95巷15號,守衛室前方,24小時,120.534291,24.088180,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
嘉義文雅里服務處ｉ郵箱,60000,嘉義市東區東洋新村455號,門口右側,24小時,120.488149,23.483636,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
新港郵局ｉ郵箱,61600,嘉義縣新港鄉宮前村中正路8號,門口右側,24小時,120.346263,23.555172,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
六腳灣內郵政代辦所ｉ郵箱,61500,嘉義縣六腳鄉灣內村120-1號,門口右側,24小時,120.308783,23.500041,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
嘉義經國新城H棟ｉ郵箱,60000,嘉義市西區新榮路35巷14號,經國福利站門口右側,24小時,120.444213,23.469774,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
大林中山路郵局ｉ郵箱,62200,嘉義縣大林鎮中山路232號,門口左側,24小時,120.456139,23.606013,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺中桂冠歐洲社區ｉ郵箱,40700,臺中市西屯區四川路87巷50號,C棟管理室入口右側電梯間,24小時,120.654996,24.161223,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺中崇仁活動中心ｉ郵箱,40200,臺中市南區柳川西路1段59號,大門左側,24小時,120.660556,24.131448,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
新社馬力埔活動中心ｉ郵箱,42600,臺中市新社區中和街1段8號,大門右側,24小時,120.792263,24.218963,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
烏日櫻花獨綻社區ｉ郵箱,41400,臺中市烏日區三榮路1段399號,大門右側牆面位置,24小時,120.602979,24.106740,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺中南屯圖書館ｉ郵箱,40800,臺中市南屯區大墩十二街361號,大門左側,24小時,120.645327,24.149798,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
沙鹿鹿寮丹聯成衣商圈ｉ郵箱,43300,臺中市沙鹿區鹿寮里錦華街50號,左側公佈欄前,24小時,120.564182,24.249450,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺中大慶活動中心ｉ郵箱,40200,臺中市南區德富路100號,大門右側,24小時,120.654544,24.119642,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
豐原大城國寶社區ｉ郵箱,42000,臺中市豐原區圓環東路368號,管理室右側,24小時,120.723960,24.244556,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺中勤工社區ｉ郵箱,40200,臺中市南區工學三街23號,活動中心大門右側,24小時,120.663162,24.117813,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺中大坑口郵局ｉ郵箱,40600,臺中市北屯區東山路1段38-1號,ATM自助區,24小時,120.699348,24.170188,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
后里郵局ｉ郵箱,42100,臺中市后里區公安路77號,大門左側,24小時,120.710853,24.304697,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
SOGO高雄店ｉ郵箱,80600,高雄市前鎮區三多三路217號,SOGO高雄店南天街入口右側,24小時,120.306206,22.614174,50,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
高雄大順郵局ｉ郵箱,80700,高雄市三民區大順二路207號,大門右側,24小時,120.326331,22.643540,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
左營新莊仔郵局ｉ郵箱,81300,高雄市左營區富民路356號,大門右側,24小時,120.305293,22.664916,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
高雄民壯郵局ｉ郵箱,80700,高雄市三民區民壯路16~22號,大門右側,24小時,120.340728,22.638908,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
楠梓後勁郵局ｉ郵箱,81100,高雄市楠梓區後昌路128號,大門右側,24小時,120.310139,22.718141,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
高雄義民郵局ｉ郵箱,80700,高雄市三民區大豐二路203號,大門左側,24小時,120.330063,22.645942,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
新店雙城郵局ｉ郵箱,23100,新北市新店區安康路3段47號,大門左側牆面,24小時,121.492793,24.952910,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
新店十四份郵局ｉ郵箱,23100,新北市新店區安民街206號,撤除100口專用信箱,24小時,121.517379,24.972282,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
新店公崙郵局ｉ郵箱,23100,新北市新店區安康路2段179號,大門右側騎樓,24小時,121.509628,24.959170,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
樹林迴龍郵局ｉ郵箱,23800,新北市樹林區中正路708號,大門右側牆面,24小時,121.409264,25.017732,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
板橋站前郵局ｉ郵箱,22000,新北市板橋區府中路16號,大門右側騎樓兩樑柱間,24小時,121.460102,25.009866,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
中和泰和街郵局ｉ郵箱,23500,新北市中和區泰和街6號,信箱區內,24小時,121.499890,25.001200,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
樹林育英街郵局ｉ郵箱,23800,新北市樹林區育英街36號,大門前左側牆面,24小時,121.421685,24.989456,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
新店屈尺郵局ｉ郵箱,23100,新北市新店區屈尺路64號,大門右側,24小時,121.547001,24.922624,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
樹林揚名福星社區ｉ郵箱,23800,新北市樹林區俊保街8號,大門右側,24小時,121.425146,25.009207,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
板橋新海郵局ｉ郵箱,22000,新北市板橋區裕民街135號,ATM右側玻璃牆面,24小時,121.459030,25.027250,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
新店慈濟靜思堂ｉ郵箱,23100,新北市新店區建國路279號,機車停車場出入口旁外廊道,24小時,121.535830,24.984281,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
新店玫瑰城郵局ｉ郵箱,23100,新北市新店區如意街112號,右側牆面,24小時,121.494498,24.946886,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
平鎮英雄鎮社區ｉ郵箱,32400,桃園市平鎮區新富二街12號1樓,新富二街12號(左側),24小時,121.216037,24.942050,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
平鎮廣明郵局ｉ郵箱,32400,桃園市平鎮區廣明路71.73號1樓,營業廳出入口左側,24小時,121.213473,24.953993,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
平鎮凱悅別墅社區ｉ郵箱,32400,桃園市平鎮區中正五路82號,管理室正前方,24小時,121.256564,24.928960,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
中壢南園郵局ｉ郵箱,32000,桃園市中壢區南園二路4號,大門右側,24小時,121.238520,24.971800,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
大林郵局ｉ郵箱,62200,嘉義縣大林鎮平和街28-1號,門口,24小時,120.456810,23.602411,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
